Массовые характеристики: selected Solid Bodies:			
     Система координат: -- по умолчанию --			
			
Плотность = 0,0012 килограммов на кубический сантиметр			
Высота мм	Масса кг	Объём см куб	Площадь пов-ти кв м
85	3.6862	3071.8404	0.4358
84,5	3.6639	3053.2277	0.4338
84,23	3.6518	3043.2009	0.4328
84	3.6416	3034.6724	0.4319
83,5	3.6194	3016.1714	0.4300
83,23	3.6074	3006.2025	0.4290
83	3.5973	2997.7221	0.4281
82,5	3.5752	2979.3220	0.4262
82,23	3.5633	2969.4055	0.4252
82	3.5532	2960.9686	0.4243
81,5	3.5312	2942.6597	0.4224
81,23	3.5193	2932.7906	0.3964	###
81	3.5127	2927.2664	0.3954	###
80,73	3.5050	2920.7922	0.3942	###
80,5	3.4949	2912.4130	0.3934
80	3.4731	2894.2250	0.3915
79,5	3.4513	2876.0734	0.3896
79	3.4295	2857.9563	0.3878
78,5	3.4078	2839.8722	0.3859
78	3.3862	2821.8192	0.3841
77,5	3.3646	2803.7958	0.3822
77	3.3430	2785.8003	0.3804
76,5	3.3214	2767.8312	0.3786
76	3.2999	2749.8871	0.3768
75,5	3.2784	2731.9664	0.3749
75	3.2569	2714.0678	0.3731
74,5	3.2354	2696.1897	0.3713
74	3.2140	2678.3310	0.3695
73,5	3.1926	2660.4901	0.3677
73	3.1712	2642.6659	0.3659
72,5	3.1498	2624.8569	0.3641
72	3.1285	2607.0619	0.3623
71,5	3.1071	2589.2797	0.3605
71	3.0858	2571.5089	0.3587
70,5	3.0645	2553.7484	0.3569
70	3.0432	2535.9970	0.3552
69,5	3.0219	2518.2533	0.3534
69	3.0006	2500.5162	0.3516
68,5	2.9793	2482.7845	0.3498
68	2.9581	2465.0570	0.3481
67,5	2.9368	2447.3326	0.3463
67	2.9155	2429.6099	0.3445
66,5	2.8943	2411.8879	0.3428
66	2.8730	2394.1653	0.3410
65,5	2.8517	2376.4411	0.3392
65	2.8305	2358.7139	0.3375
64,5	2.8092	2340.9826	0.3357
64	2.7879	2323.2459	0.3340
63,5	2.7666	2305.5028	0.3322
63	2.7453	2287.7520	0.3305
62,5	2.7240	2269.9923	0.3287
62	2.7027	2252.2224	0.3270
61,5	2.6813	2234.4411	0.3252
61	2.6600	2216.6472	0.3235
60,5	2.6386	2198.8394	0.3217
60	2,617	2181	0,32
59,5	2,596	2163	0,3183
59	2,574	2145	0,3165
58,73	2,563	2135,67	0,2906	###
58,5	2,556	2130	0,2897	###
58,23	2,549	2124,03	0,2886	###
58	2,539	2116	0,2878
57,5	2,517	2098	0,286
57	2,496	2080	0,2843
56,5	2,474	2062	0,2826
56	2,453	2044	0,2809
55,5	2,431	2026	0,2791
55	2,409	2008	0,2774
54,5	2,388	1990	0,2757
54	2,366	1972	0,274
53,5	2,344	1954	0,2723
53	2,322	1935	0,2706
52,5	2,301	1917	0,2686
52	2,279	1899	0,2669
51,5	2,257	1881	0,2651
51	2,235	1862	0,2634
50,5	2,213	1844	0,2616
50	2,191	1826	0,2599
49	2,146	1789	0,2564
48	2,102	1752	0,2529
47	2,057	1714	0,2494
46	2,012	1676	0,2459
45	1,966	1638	0,2424
44	1,92	1600	0,239
43	1,873	1561	0,2356
42	1,83	1525	0,217
41	1,781	1484	0,2133
40	1,732	1443	0,2101
39	1,682	1402	0,2068
38	1,633	1360	0,2034
37	1,583	1319	0,2
36	1,533	1277	0,1966
35	1,483	1236	0,1935
34	1,431	1193	0,191
33	1,38	1150	0,1887
32	1,328	1107	0,1865
31	1,277	1064	0,1844
30	1,225	1021	0,1822
29	1,174	978,2	0,1801
28	1,122	935,2	0,178
27	1,07	892,1	0,176
26	1,023	852,6	0,1589
25	0,9714	809,5	0,1569
24	0,9196	766,4	0,1549
23	0,8679	723,2	0,1529
22	0,8161	680,1	0,1509
21	0,7644	637	0,1489
20	0,7126	593,9	0,1469
19	0,6609	550,7	0,1449
18	0,6092	507,7	0,1427
17	0,5575	464,6	0,1406
16	0,5059	421,6	0,1385
15	0,4542	378,5	0,1364
14	0,4025	335,5	0,1344
13	0,3509	292,4	0,1323
12	0,2992	249,4	0,1302
11	0,2475	206,2	0,1282
10,7	0,2324	193,68	0,1028	###
10,2	0,2135	177,93	0,1015	###
10	0,2032	169,3	0,1011
9	0,1512	126	0,09935
8,2	0,1087	90,61	0,0987
8	0,09926	82,72	0,03183
7	0,08587	71,56	0,03043
6	0,07248	60,4	0,02904
5	0,05909	49,24	0,02764
4	0,04601	38,34	0,02554
3	0,03355	27,96	0,02343
2	0,02173	18,11	0,02131
1	0,01055	8,788	0,01918
0	0	0	0
